,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
107,106,81,991,6051,6051,6051,IMG_0003_,IMG_0003_3_0205SET_registered.tif,IMG_0003_2_0205SET_registered.tif,IMG_0003_1_0205SET_registered.tif,IMG_0003_5_0205SET_registered.tif,IMG_0003_4_0205SET_registered.tif,Field38,2020-11-26,medium_blackgrass,early,winter_wheat,type7,../data/Field38/2020-11-26/medium_blackgrass,blackgrass,train
62,287,533,1146,14142,14142,14142,IMG_0087_,IMG_0087_3_3_0148SET_registered.tif,IMG_0087_2_3_0148SET_registered.tif,IMG_0087_1_3_0148SET_registered.tif,IMG_0087_5_3_0148SET_registered.tif,IMG_0087_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
46,313,227,842,9467,9467,9467,IMG_0025_,IMG_0025_3_3_0185SET_registered.tif,IMG_0025_2_3_0185SET_registered.tif,IMG_0025_1_3_0185SET_registered.tif,IMG_0025_5_3_0185SET_registered.tif,IMG_0025_4_3_0185SET_registered.tif,Field25,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field25/2021-05-12/medium_blackgrass,blackgrass,train
113,111,531,1164,7650,7650,7650,IMG_0091_,IMG_0091_3_3_0055SET_registered.tif,IMG_0091_2_3_0055SET_registered.tif,IMG_0091_1_3_0055SET_registered.tif,IMG_0091_5_3_0055SET_registered.tif,IMG_0091_4_3_0055SET_registered.tif,Field46,2021-04-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field46/2021-04-16/medium_blackgrass,blackgrass,train
117,141,621,1120,1257,1257,1257,IMG_0045_,IMG_0045_3_3_0010SET_registered.tif,IMG_0045_2_3_0010SET_registered.tif,IMG_0045_1_3_0010SET_registered.tif,IMG_0045_5_3_0010SET_registered.tif,IMG_0045_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
99,85,415,835,7293,7293,7293,IMG_0077_,IMG_0077_3_3_0189SET_registered.tif,IMG_0077_2_3_0189SET_registered.tif,IMG_0077_1_3_0189SET_registered.tif,IMG_0077_5_3_0189SET_registered.tif,IMG_0077_4_3_0189SET_registered.tif,Field81,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field81/2021-05-13/medium_blackgrass,blackgrass,train
104,293,44,1002,927,927,927,IMG_0095_,IMG_0095_3_4_0037SET_registered.tif,IMG_0095_2_4_0037SET_registered.tif,IMG_0095_1_4_0037SET_registered.tif,IMG_0095_5_4_0037SET_registered.tif,IMG_0095_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
176,314,316,792,11060,11060,11060,IMG_0052_,IMG_0052_3_2_0132SET_registered.tif,IMG_0052_2_2_0132SET_registered.tif,IMG_0052_1_2_0132SET_registered.tif,IMG_0052_5_2_0132SET_registered.tif,IMG_0052_4_2_0132SET_registered.tif,Field77,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field77/2021-03-03/dense_blackgrass,blackgrass,train
123,150,488,1291,5507,5507,5507,IMG_0060_,IMG_0060_3_0181SET_registered.tif,IMG_0060_2_0181SET_registered.tif,IMG_0060_1_0181SET_registered.tif,IMG_0060_5_0181SET_registered.tif,IMG_0060_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
177,334,647,1383,2737,2737,2737,IMG_0094_,IMG_0094_3_2_0098SET_registered.tif,IMG_0094_2_2_0097SET_registered.tif,IMG_0094_1_2_0097SET_registered.tif,IMG_0094_5_2_0098SET_registered.tif,IMG_0094_4_2_0097SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
5,264,291,55,5951,5951,5951,IMG_0007_,IMG_0007_3_2_0153SET_registered.tif,IMG_0007_2_2_0153SET_registered.tif,IMG_0007_1_2_0153SET_registered.tif,IMG_0007_5_2_0153SET_registered.tif,IMG_0007_4_2_0153SET_registered.tif,Field37,2021-03-12,medium_blackgrass,mid,winter_barley,type4,../data/Field37/2021-03-12/medium_blackgrass,blackgrass,train
6,319,630,243,6202,6202,6202,IMG_0112_,IMG_0112_3_4_0077SET_registered.tif,IMG_0112_2_4_0077SET_registered.tif,IMG_0112_1_4_0077SET_registered.tif,IMG_0112_5_4_0077SET_registered.tif,IMG_0112_4_4_0077SET_registered.tif,Field38,2021-05-27,medium_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/medium_blackgrass,blackgrass,train
147,136,269,296,7221,7221,7221,IMG_0085_,IMG_0085_3_3_0189SET_registered.tif,IMG_0085_2_3_0189SET_registered.tif,IMG_0085_1_3_0189SET_registered.tif,IMG_0085_5_3_0189SET_registered.tif,IMG_0085_4_3_0189SET_registered.tif,Field81,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field81/2021-05-13/medium_blackgrass,blackgrass,train
179,72,602,683,7327,7327,7327,IMG_0045_,IMG_0045_3_2_0137SET_registered.tif,IMG_0045_2_2_0137SET_registered.tif,IMG_0045_1_2_0137SET_registered.tif,IMG_0045_5_2_0137SET_registered.tif,IMG_0045_4_2_0137SET_registered.tif,Field81,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field81/2021-03-03/medium_blackgrass,blackgrass,train
63,285,508,1364,8841,8841,8841,IMG_0058_,IMG_0058_3_3_0187SET_registered.tif,IMG_0058_2_3_0187SET_registered.tif,IMG_0058_1_3_0187SET_registered.tif,IMG_0058_5_3_0187SET_registered.tif,IMG_0058_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
79,152,581,1174,12052,12052,12052,IMG_0071_,IMG_0071_3_2_0012SET_registered.tif,IMG_0071_2_2_0014SET_registered.tif,IMG_0071_1_2_0012SET_registered.tif,IMG_0071_5_2_0014SET_registered.tif,IMG_0071_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
155,130,216,1321,13274,13274,13274,IMG_0034_,IMG_0034_3_0146SET_registered.tif,IMG_0034_2_0146SET_registered.tif,IMG_0034_1_0146SET_registered.tif,IMG_0034_5_0146SET_registered.tif,IMG_0034_4_0146SET_registered.tif,Field15,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field15/2020-11-04/medium_blackgrass,blackgrass,train
170,245,669,1047,10732,10732,10732,IMG_0004_,IMG_0004_3_4_0013SET_registered.tif,IMG_0004_2_4_0013SET_registered.tif,IMG_0004_1_4_0012SET_registered.tif,IMG_0004_5_4_0013SET_registered.tif,IMG_0004_4_4_0012SET_registered.tif,Field97,2021-05-13,medium_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/medium_blackgrass,blackgrass,train
158,109,237,282,5515,5515,5515,IMG_0040_,IMG_0040_3_0181SET_registered.tif,IMG_0040_2_0181SET_registered.tif,IMG_0040_1_0181SET_registered.tif,IMG_0040_5_0181SET_registered.tif,IMG_0040_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
140,3,258,913,13682,13682,13682,IMG_0010_,IMG_0010_3_3_0043SET_registered.tif,IMG_0010_2_3_0043SET_registered.tif,IMG_0010_1_3_0043SET_registered.tif,IMG_0010_5_3_0043SET_registered.tif,IMG_0010_4_3_0043SET_registered.tif,Field42,2021-04-15(HELDOUTDATASET),dense_blackgrass,mid,winter_wheat,type3,../data/Field42/2021-04-15(HELDOUTDATASET)/dense_blackgrass,blackgrass,train
72,33,261,1029,11972,11972,11972,IMG_0113_,IMG_0113_3_2_0012SET_registered.tif,IMG_0113_2_2_0012SET_registered.tif,IMG_0113_1_2_0012SET_registered.tif,IMG_0113_5_2_0012SET_registered.tif,IMG_0113_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
10,38,414,805,255,255,255,IMG_0015_,IMG_0015_3_2_0133SET_registered.tif,IMG_0015_2_2_0133SET_registered.tif,IMG_0015_1_2_0133SET_registered.tif,IMG_0015_5_2_0133SET_registered.tif,IMG_0015_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
114,142,660,1359,15363,15363,15363,IMG_0023_,IMG_0023_3_0240SET_registered.tif,IMG_0023_2_0240SET_registered.tif,IMG_0023_1_0240SET_registered.tif,IMG_0023_5_0240SET_registered.tif,IMG_0023_4_0240SET_registered.tif,Field48,2020-12-16,dense_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/dense_blackgrass,blackgrass,train
90,23,699,978,5719,5719,5719,IMG_0045_,IMG_0045_3_2_0065SET_registered.tif,IMG_0045_2_2_0065SET_registered.tif,IMG_0045_1_2_0065SET_registered.tif,IMG_0045_5_2_0065SET_registered.tif,IMG_0045_4_2_0065SET_registered.tif,Field29,2021-01-29,medium_blackgrass,mid,winter_wheat,type2,../data/Field29/2021-01-29/medium_blackgrass,blackgrass,train
162,302,265,549,3188,3188,3188,IMG_0048_,IMG_0048_3_0161SET_registered.tif,IMG_0048_2_0161SET_registered.tif,IMG_0048_1_0161SET_registered.tif,IMG_0048_5_0161SET_registered.tif,IMG_0048_4_0161SET_registered.tif,Field16,2020-11-10,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/medium_blackgrass,blackgrass,train
103,157,333,377,8490,8490,8490,IMG_0077_,IMG_0077_3_2_0103SET_registered.tif,IMG_0077_2_2_0103SET_registered.tif,IMG_0077_1_2_0103SET_registered.tif,IMG_0077_5_2_0103SET_registered.tif,IMG_0077_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
36,46,594,1035,5489,5489,5489,IMG_0058_,IMG_0058_3_0181SET_registered.tif,IMG_0058_2_0181SET_registered.tif,IMG_0058_1_0181SET_registered.tif,IMG_0058_5_0181SET_registered.tif,IMG_0058_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
3,194,426,816,767,767,767,IMG_0126_,IMG_0126_3_4_0037SET_registered.tif,IMG_0126_2_4_0037SET_registered.tif,IMG_0126_1_4_0037SET_registered.tif,IMG_0126_5_4_0037SET_registered.tif,IMG_0126_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
128,102,566,1126,3597,3597,3597,IMG_0063_,IMG_0063_3_2_0131SET_registered.tif,IMG_0063_2_2_0131SET_registered.tif,IMG_0063_1_2_0131SET_registered.tif,IMG_0063_5_2_0131SET_registered.tif,IMG_0063_4_2_0131SET_registered.tif,Field76,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field76/2021-03-03/medium_blackgrass,blackgrass,train
138,167,530,274,6619,6619,6619,IMG_0015_,IMG_0015_3_2_0155SET_registered.tif,IMG_0015_2_2_0155SET_registered.tif,IMG_0015_1_2_0155SET_registered.tif,IMG_0015_5_2_0155SET_registered.tif,IMG_0015_4_2_0155SET_registered.tif,Field38,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field38/2021-03-17/dense_blackgrass,blackgrass,train
69,344,36,706,7006,7006,7006,IMG_0186_,IMG_0186_3_3_0183SET_registered.tif,IMG_0186_2_3_0183SET_registered.tif,IMG_0186_1_3_0183SET_registered.tif,IMG_0186_5_3_0183SET_registered.tif,IMG_0186_4_3_0183SET_registered.tif,Field70,2021-05-12,dense_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/dense_blackgrass,blackgrass,train
153,22,698,1254,11104,11104,11104,IMG_0078_,IMG_0078_3_2_0132SET_registered.tif,IMG_0078_2_2_0132SET_registered.tif,IMG_0078_1_2_0132SET_registered.tif,IMG_0078_5_2_0132SET_registered.tif,IMG_0078_4_2_0132SET_registered.tif,Field77,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field77/2021-03-03/dense_blackgrass,blackgrass,train
159,307,61,1145,1223,1223,1223,IMG_0016_,IMG_0016_3_3_0010SET_registered.tif,IMG_0016_2_3_0010SET_registered.tif,IMG_0016_1_3_0010SET_registered.tif,IMG_0016_5_3_0010SET_registered.tif,IMG_0016_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
121,296,274,1258,2689,2689,2689,IMG_0030_,IMG_0030_3_2_0097SET_registered.tif,IMG_0030_2_2_0098SET_registered.tif,IMG_0030_1_2_0097SET_registered.tif,IMG_0030_5_2_0097SET_registered.tif,IMG_0030_4_2_0098SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
95,250,673,933,10720,10720,10720,IMG_0041_,IMG_0041_3_4_0013SET_registered.tif,IMG_0041_2_4_0012SET_registered.tif,IMG_0041_1_4_0012SET_registered.tif,IMG_0041_5_4_0012SET_registered.tif,IMG_0041_4_4_0013SET_registered.tif,Field97,2021-05-13,medium_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/medium_blackgrass,blackgrass,train
165,330,588,782,879,879,879,IMG_0012_,IMG_0012_3_4_0037SET_registered.tif,IMG_0012_2_4_0037SET_registered.tif,IMG_0012_1_4_0037SET_registered.tif,IMG_0012_5_4_0037SET_registered.tif,IMG_0012_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
42,308,89,918,8688,8688,8688,IMG_0026_,IMG_0026_3_0165SET_registered.tif,IMG_0026_2_0166SET_registered.tif,IMG_0026_1_0166SET_registered.tif,IMG_0026_5_0165SET_registered.tif,IMG_0026_4_0165SET_registered.tif,Field23,2020-11-11,dense_blackgrass,early,winter_wheat,type7,../data/Field23/2020-11-11/dense_blackgrass,blackgrass,train
91,338,586,301,8486,8486,8486,IMG_0094_,IMG_0094_3_2_0103SET_registered.tif,IMG_0094_2_2_0103SET_registered.tif,IMG_0094_1_2_0103SET_registered.tif,IMG_0094_5_2_0103SET_registered.tif,IMG_0094_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
48,76,50,540,3405,3405,3405,IMG_0173_,IMG_0173_3_3_0194SET_registered.tif,IMG_0173_2_3_0194SET_registered.tif,IMG_0173_1_3_0194SET_registered.tif,IMG_0173_5_3_0194SET_registered.tif,IMG_0173_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
89,176,403,1103,11574,11574,11574,IMG_0042_,IMG_0042_3_0141SET_registered.tif,IMG_0042_2_0141SET_registered.tif,IMG_0042_1_0141SET_registered.tif,IMG_0042_5_0141SET_registered.tif,IMG_0042_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
146,117,302,177,8488,8488,8488,IMG_0075_,IMG_0075_3_2_0103SET_registered.tif,IMG_0075_2_2_0103SET_registered.tif,IMG_0075_1_2_0103SET_registered.tif,IMG_0075_5_2_0103SET_registered.tif,IMG_0075_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
11,8,199,1201,7786,7786,7786,IMG_0016_,IMG_0016_3_3_0175SET_registered.tif,IMG_0016_2_3_0175SET_registered.tif,IMG_0016_1_3_0175SET_registered.tif,IMG_0016_5_3_0175SET_registered.tif,IMG_0016_4_3_0176SET_registered.tif,Field65,2021-05-05,medium_blackgrass,mid,winter_wheat,type7,../data/Field65/2021-05-05/medium_blackgrass,blackgrass,train
150,184,694,224,1273,1273,1273,IMG_0065_,IMG_0065_3_3_0010SET_registered.tif,IMG_0065_2_3_0010SET_registered.tif,IMG_0065_1_3_0010SET_registered.tif,IMG_0065_5_3_0010SET_registered.tif,IMG_0065_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
164,303,149,160,5545,5545,5545,IMG_0023_,IMG_0023_3_0181SET_registered.tif,IMG_0023_2_0181SET_registered.tif,IMG_0023_1_0181SET_registered.tif,IMG_0023_5_0181SET_registered.tif,IMG_0023_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
151,277,640,1,5533,5533,5533,IMG_0074_,IMG_0074_3_0181SET_registered.tif,IMG_0074_2_0181SET_registered.tif,IMG_0074_1_0181SET_registered.tif,IMG_0074_5_0181SET_registered.tif,IMG_0074_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
28,289,190,222,8460,8460,8460,IMG_0024_,IMG_0024_3_2_0103SET_registered.tif,IMG_0024_2_2_0103SET_registered.tif,IMG_0024_1_2_0103SET_registered.tif,IMG_0024_5_2_0103SET_registered.tif,IMG_0024_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
116,12,185,387,15280,15280,15280,IMG_0103_,IMG_0103_3_0238SET_registered.tif,IMG_0103_2_0238SET_registered.tif,IMG_0103_1_0238SET_registered.tif,IMG_0103_5_0238SET_registered.tif,IMG_0103_4_0238SET_registered.tif,Field48,2020-12-16,medium_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/medium_blackgrass,blackgrass,train
54,332,496,1078,3422,3422,3422,IMG_0130_,IMG_0130_3_3_0194SET_registered.tif,IMG_0130_2_3_0194SET_registered.tif,IMG_0130_1_3_0194SET_registered.tif,IMG_0130_5_3_0194SET_registered.tif,IMG_0130_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
156,326,615,40,3498,3498,3498,IMG_0162_,IMG_0162_3_3_0194SET_registered.tif,IMG_0162_2_3_0194SET_registered.tif,IMG_0162_1_3_0194SET_registered.tif,IMG_0162_5_3_0194SET_registered.tif,IMG_0162_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
0,239,392,56,3804,3804,3804,IMG_0028_,IMG_0028_3_0208SET_registered.tif,IMG_0028_2_0207SET_registered.tif,IMG_0028_1_0208SET_registered.tif,IMG_0028_5_0207SET_registered.tif,IMG_0028_4_0208SET_registered.tif,Field39,2020-11-26,medium_blackgrass,early,winter_wheat,type7,../data/Field39/2020-11-26/medium_blackgrass,blackgrass,train
32,354,17,673,8514,8514,8514,IMG_0070_,IMG_0070_3_2_0103SET_registered.tif,IMG_0070_2_2_0103SET_registered.tif,IMG_0070_1_2_0103SET_registered.tif,IMG_0070_5_2_0103SET_registered.tif,IMG_0070_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
