,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
313,194,8987,8987,8987,IMG_0001_,IMG_0001_3_3_0191SET_registered.tif,IMG_0001_2_3_0191SET_registered.tif,IMG_0001_1_3_0191SET_registered.tif,IMG_0001_5_3_0191SET_registered.tif,IMG_0001_4_3_0191SET_registered.tif,Field82,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field82/2021-05-13/dense_blackgrass,blackgrass,train
396,1014,807,807,807,IMG_0070_,IMG_0070_3_4_0037SET_registered.tif,IMG_0070_2_4_0037SET_registered.tif,IMG_0070_1_4_0037SET_registered.tif,IMG_0070_5_4_0037SET_registered.tif,IMG_0070_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
614,1425,10913,10913,10913,IMG_0035_,IMG_0035_3_4_0014SET_registered.tif,IMG_0035_2_4_0014SET_registered.tif,IMG_0035_1_4_0014SET_registered.tif,IMG_0035_5_4_0014SET_registered.tif,IMG_0035_4_4_0014SET_registered.tif,Field97,2021-05-13,dense_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/dense_blackgrass,blackgrass,train
517,718,7634,7634,7634,IMG_0094_,IMG_0094_3_3_0055SET_registered.tif,IMG_0094_2_3_0055SET_registered.tif,IMG_0094_1_3_0055SET_registered.tif,IMG_0094_5_3_0055SET_registered.tif,IMG_0094_4_3_0055SET_registered.tif,Field46,2021-04-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field46/2021-04-16/medium_blackgrass,blackgrass,train
261,1029,11972,11972,11972,IMG_0113_,IMG_0113_3_2_0012SET_registered.tif,IMG_0113_2_2_0012SET_registered.tif,IMG_0113_1_2_0012SET_registered.tif,IMG_0113_5_2_0012SET_registered.tif,IMG_0113_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
296,771,3156,3156,3156,IMG_0093_,IMG_0093_3_0161SET_registered.tif,IMG_0093_2_0161SET_registered.tif,IMG_0093_1_0161SET_registered.tif,IMG_0093_5_0161SET_registered.tif,IMG_0093_4_0161SET_registered.tif,Field16,2020-11-10,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/medium_blackgrass,blackgrass,train
7,799,15387,15387,15387,IMG_0043_,IMG_0043_3_0240SET_registered.tif,IMG_0043_2_0240SET_registered.tif,IMG_0043_1_0240SET_registered.tif,IMG_0043_5_0240SET_registered.tif,IMG_0043_4_0240SET_registered.tif,Field48,2020-12-16,dense_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/dense_blackgrass,blackgrass,train
578,107,2936,2936,2936,IMG_0067_,IMG_0067_3_4_0023SET_registered.tif,IMG_0067_2_4_0023SET_registered.tif,IMG_0067_1_4_0023SET_registered.tif,IMG_0067_5_4_0023SET_registered.tif,IMG_0067_4_4_0023SET_registered.tif,Field16,2021-05-14,dense_blackgrass,late,winter_wheat,type7,../data/Field16/2021-05-14/dense_blackgrass,blackgrass,train
702,636,10889,10889,10889,IMG_0079_,IMG_0079_3_4_0014SET_registered.tif,IMG_0079_2_4_0014SET_registered.tif,IMG_0079_1_4_0014SET_registered.tif,IMG_0079_5_4_0014SET_registered.tif,IMG_0079_4_4_0014SET_registered.tif,Field97,2021-05-13,dense_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/dense_blackgrass,blackgrass,train
414,805,255,255,255,IMG_0015_,IMG_0015_3_2_0133SET_registered.tif,IMG_0015_2_2_0133SET_registered.tif,IMG_0015_1_2_0133SET_registered.tif,IMG_0015_5_2_0133SET_registered.tif,IMG_0015_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
309,1305,11477,11477,11477,IMG_0002_,IMG_0002_3_3_0033SET_registered.tif,IMG_0002_2_3_0033SET_registered.tif,IMG_0002_1_3_0033SET_registered.tif,IMG_0002_5_3_0033SET_registered.tif,IMG_0002_4_3_0033SET_registered.tif,Field89,2021-03-25(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type7,../data/Field89/2021-03-25(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
79,202,12055,12055,12055,IMG_0066_,IMG_0066_3_2_0012SET_registered.tif,IMG_0066_2_2_0014SET_registered.tif,IMG_0066_1_2_0012SET_registered.tif,IMG_0066_5_2_0014SET_registered.tif,IMG_0066_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
252,576,14084,14084,14084,IMG_0083_,IMG_0083_3_3_0148SET_registered.tif,IMG_0083_2_3_0148SET_registered.tif,IMG_0083_1_3_0148SET_registered.tif,IMG_0083_5_3_0148SET_registered.tif,IMG_0083_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
442,804,6305,6305,6305,IMG_0084_,IMG_0084_3_4_0076SET_registered.tif,IMG_0084_2_4_0076SET_registered.tif,IMG_0084_1_4_0076SET_registered.tif,IMG_0084_5_4_0076SET_registered.tif,IMG_0084_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
16,763,2386,2386,2386,IMG_0019_,IMG_0019_3_0197SET_registered.tif,IMG_0019_2_0197SET_registered.tif,IMG_0019_1_0197SET_registered.tif,IMG_0019_5_0198SET_registered.tif,IMG_0019_4_0197SET_registered.tif,Field35,2020-11-24,medium_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/medium_blackgrass,blackgrass,train
211,650,9042,9042,9042,IMG_0050_,IMG_0050_3_2_0138SET_registered.tif,IMG_0050_2_2_0138SET_registered.tif,IMG_0050_1_2_0138SET_registered.tif,IMG_0050_5_2_0138SET_registered.tif,IMG_0050_4_2_0138SET_registered.tif,Field82,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field82/2021-03-03/dense_blackgrass,blackgrass,train
674,963,9018,9018,9018,IMG_0042_,IMG_0042_3_2_0138SET_registered.tif,IMG_0042_2_2_0138SET_registered.tif,IMG_0042_1_2_0138SET_registered.tif,IMG_0042_5_2_0138SET_registered.tif,IMG_0042_4_2_0138SET_registered.tif,Field82,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field82/2021-03-03/dense_blackgrass,blackgrass,train
594,1035,5489,5489,5489,IMG_0058_,IMG_0058_3_0181SET_registered.tif,IMG_0058_2_0181SET_registered.tif,IMG_0058_1_0181SET_registered.tif,IMG_0058_5_0181SET_registered.tif,IMG_0058_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
556,887,6916,6916,6916,IMG_0066_,IMG_0066_3_3_0181SET_registered.tif,IMG_0066_2_3_0181SET_registered.tif,IMG_0066_1_3_0181SET_registered.tif,IMG_0066_5_3_0181SET_registered.tif,IMG_0066_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
509,739,705,705,705,IMG_0103_,IMG_0103_3_0185SET_registered.tif,IMG_0103_2_0186SET_registered.tif,IMG_0103_1_0186SET_registered.tif,IMG_0103_5_0186SET_registered.tif,IMG_0103_4_0186SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
482,657,8910,8910,8910,IMG_0041_,IMG_0041_3_3_0187SET_registered.tif,IMG_0041_2_3_0187SET_registered.tif,IMG_0041_1_3_0187SET_registered.tif,IMG_0041_5_3_0187SET_registered.tif,IMG_0041_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
707,1122,15916,15916,15916,IMG_0011_,IMG_0011_3_3_0032SET_registered.tif,IMG_0011_2_3_0032SET_registered.tif,IMG_0011_1_3_0032SET_registered.tif,IMG_0011_5_3_0032SET_registered.tif,IMG_0011_4_3_0032SET_registered.tif,Field88,2021-03-25(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type7,../data/Field88/2021-03-25(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
685,660,11531,11531,11531,IMG_0016_,IMG_0016_3_0140SET_registered.tif,IMG_0016_2_0140SET_registered.tif,IMG_0016_1_0140SET_registered.tif,IMG_0016_5_0140SET_registered.tif,IMG_0016_4_0140SET_registered.tif,Field12,2020-11-03,medium_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/medium_blackgrass,blackgrass,train
151,438,10937,10937,10937,IMG_0071_,IMG_0071_3_3_0193SET_registered.tif,IMG_0071_2_3_0193SET_registered.tif,IMG_0071_1_3_0193SET_registered.tif,IMG_0071_5_3_0193SET_registered.tif,IMG_0071_4_3_0193SET_registered.tif,Field77,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field77/2021-05-13/medium_blackgrass,blackgrass,train
570,1394,805,805,805,IMG_0195_,IMG_0195_3_4_0037SET_registered.tif,IMG_0195_2_4_0037SET_registered.tif,IMG_0195_1_4_0037SET_registered.tif,IMG_0195_5_4_0037SET_registered.tif,IMG_0195_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
622,175,11605,11605,11605,IMG_0013_,IMG_0013_3_0141SET_registered.tif,IMG_0013_2_0142SET_registered.tif,IMG_0013_1_0142SET_registered.tif,IMG_0013_5_0141SET_registered.tif,IMG_0013_4_0142SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
11,626,912,912,912,IMG_0019_,IMG_0019_3_4_0037SET_registered.tif,IMG_0019_2_4_0037SET_registered.tif,IMG_0019_1_4_0037SET_registered.tif,IMG_0019_5_4_0037SET_registered.tif,IMG_0019_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
228,430,3741,3741,3741,IMG_0085_,IMG_0085_3_0207SET_registered.tif,IMG_0085_2_0207SET_registered.tif,IMG_0085_1_0207SET_registered.tif,IMG_0085_5_0208SET_registered.tif,IMG_0085_4_0208SET_registered.tif,Field39,2020-11-26,medium_blackgrass,early,winter_wheat,type7,../data/Field39/2020-11-26/medium_blackgrass,blackgrass,train
413,675,4024,4024,4024,IMG_0083_,IMG_0083_3_4_0082SET_registered.tif,IMG_0083_2_4_0082SET_registered.tif,IMG_0083_1_4_0082SET_registered.tif,IMG_0083_5_4_0082SET_registered.tif,IMG_0083_4_4_0082SET_registered.tif,Field39,2021-05-27,medium_blackgrass,late,winter_wheat,type7,../data/Field39/2021-05-27/medium_blackgrass,blackgrass,train
542,238,14155,14155,14155,IMG_0060_,IMG_0060_3_3_0148SET_registered.tif,IMG_0060_2_3_0148SET_registered.tif,IMG_0060_1_3_0148SET_registered.tif,IMG_0060_5_3_0148SET_registered.tif,IMG_0060_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
490,1263,5542,5542,5542,IMG_0053_,IMG_0053_3_0181SET_registered.tif,IMG_0053_2_0181SET_registered.tif,IMG_0053_1_0181SET_registered.tif,IMG_0053_5_0181SET_registered.tif,IMG_0053_4_0181SET_registered.tif,Field29,2020-11-17,medium_blackgrass,early,winter_wheat,type2,../data/Field29/2020-11-17/medium_blackgrass,blackgrass,train
321,1322,13297,13297,13297,IMG_0057_,IMG_0057_3_0146SET_registered.tif,IMG_0057_2_0146SET_registered.tif,IMG_0057_1_0146SET_registered.tif,IMG_0057_5_0146SET_registered.tif,IMG_0057_4_0146SET_registered.tif,Field15,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field15/2020-11-04/medium_blackgrass,blackgrass,train
420,810,14167,14167,14167,IMG_0035_,IMG_0035_3_3_0148SET_registered.tif,IMG_0035_2_3_0148SET_registered.tif,IMG_0035_1_3_0148SET_registered.tif,IMG_0035_5_3_0148SET_registered.tif,IMG_0035_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
262,1004,6764,6764,6764,IMG_0009_,IMG_0009_3_2_0106SET_registered.tif,IMG_0009_2_2_0106SET_registered.tif,IMG_0009_1_2_0106SET_registered.tif,IMG_0009_5_2_0106SET_registered.tif,IMG_0009_4_2_0106SET_registered.tif,Field70,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field70/2021-02-17/dense_blackgrass,blackgrass,train
611,492,11045,11045,11045,IMG_0083_,IMG_0083_3_2_0132SET_registered.tif,IMG_0083_2_2_0132SET_registered.tif,IMG_0083_1_2_0132SET_registered.tif,IMG_0083_5_2_0132SET_registered.tif,IMG_0083_4_2_0132SET_registered.tif,Field77,2021-03-03,dense_blackgrass,mid,winter_wheat,type4,../data/Field77/2021-03-03/dense_blackgrass,blackgrass,train
130,155,12819,12819,12819,IMG_0046_,IMG_0046_3_4_0086SET_registered.tif,IMG_0046_2_4_0086SET_registered.tif,IMG_0046_1_4_0086SET_registered.tif,IMG_0046_5_4_0086SET_registered.tif,IMG_0046_4_4_0086SET_registered.tif,Field109,2021-06-03,dense_blackgrass,late,winter_wheat,type7,../data/Field109/2021-06-03/dense_blackgrass,blackgrass,train
208,885,13589,13589,13589,IMG_0005_,IMG_0005_3_3_0043SET_registered.tif,IMG_0005_2_3_0043SET_registered.tif,IMG_0005_1_3_0043SET_registered.tif,IMG_0005_5_3_0043SET_registered.tif,IMG_0005_4_3_0043SET_registered.tif,Field42,2021-04-15(HELDOUTDATASET),dense_blackgrass,mid,winter_wheat,type3,../data/Field42/2021-04-15(HELDOUTDATASET)/dense_blackgrass,blackgrass,train
519,1284,11612,11612,11612,IMG_0045_,IMG_0045_3_0142SET_registered.tif,IMG_0045_2_0141SET_registered.tif,IMG_0045_1_0142SET_registered.tif,IMG_0045_5_0141SET_registered.tif,IMG_0045_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
543,423,10920,10920,10920,IMG_0016_,IMG_0016_3_4_0014SET_registered.tif,IMG_0016_2_4_0014SET_registered.tif,IMG_0016_1_4_0014SET_registered.tif,IMG_0016_5_4_0014SET_registered.tif,IMG_0016_4_4_0014SET_registered.tif,Field97,2021-05-13,dense_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/dense_blackgrass,blackgrass,train
191,578,8480,8480,8480,IMG_0083_,IMG_0083_3_2_0103SET_registered.tif,IMG_0083_2_2_0103SET_registered.tif,IMG_0083_1_2_0103SET_registered.tif,IMG_0083_5_2_0103SET_registered.tif,IMG_0083_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
275,1212,3271,3271,3271,IMG_0032_,IMG_0032_3_0160SET_registered.tif,IMG_0032_2_0160SET_registered.tif,IMG_0032_1_0160SET_registered.tif,IMG_0032_5_0160SET_registered.tif,IMG_0032_4_0160SET_registered.tif,Field16,2020-11-10,dense_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/dense_blackgrass,blackgrass,train
400,1326,3254,3254,3254,IMG_0005_,IMG_0005_3_0160SET_registered.tif,IMG_0005_2_0160SET_registered.tif,IMG_0005_1_0160SET_registered.tif,IMG_0005_5_0160SET_registered.tif,IMG_0005_4_0160SET_registered.tif,Field16,2020-11-10,dense_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/dense_blackgrass,blackgrass,train
