,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,red,green,blue,red_edge,nir,field,date,class,season,crop,soil,path,binary_class,dataset_type
903,1213,1213,1213,IMG_0066_,IMG_0066_3_3_0010SET_registered.tif,IMG_0066_2_3_0010SET_registered.tif,IMG_0066_1_3_0010SET_registered.tif,IMG_0066_5_3_0010SET_registered.tif,IMG_0066_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
626,912,912,912,IMG_0019_,IMG_0019_3_4_0037SET_registered.tif,IMG_0019_2_4_0037SET_registered.tif,IMG_0019_1_4_0037SET_registered.tif,IMG_0019_5_4_0037SET_registered.tif,IMG_0019_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
722,10849,10849,10849,IMG_0021_,IMG_0021_3_4_0014SET_registered.tif,IMG_0021_2_4_0014SET_registered.tif,IMG_0021_1_4_0014SET_registered.tif,IMG_0021_5_4_0014SET_registered.tif,IMG_0021_4_4_0014SET_registered.tif,Field97,2021-05-13,dense_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/dense_blackgrass,blackgrass,train
602,12032,12032,12032,IMG_0050_,IMG_0050_3_2_0012SET_registered.tif,IMG_0050_2_2_0014SET_registered.tif,IMG_0050_1_2_0014SET_registered.tif,IMG_0050_5_2_0014SET_registered.tif,IMG_0050_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
110,6923,6923,6923,IMG_0074_,IMG_0074_3_3_0181SET_registered.tif,IMG_0074_2_3_0181SET_registered.tif,IMG_0074_1_3_0181SET_registered.tif,IMG_0074_5_3_0181SET_registered.tif,IMG_0074_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
1398,8946,8946,8946,IMG_0099_,IMG_0099_3_3_0187SET_registered.tif,IMG_0099_2_3_0187SET_registered.tif,IMG_0099_1_3_0187SET_registered.tif,IMG_0099_5_3_0187SET_registered.tif,IMG_0099_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
763,2386,2386,2386,IMG_0019_,IMG_0019_3_0197SET_registered.tif,IMG_0019_2_0197SET_registered.tif,IMG_0019_1_0197SET_registered.tif,IMG_0019_5_0198SET_registered.tif,IMG_0019_4_0197SET_registered.tif,Field35,2020-11-24,medium_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/medium_blackgrass,blackgrass,train
673,8514,8514,8514,IMG_0070_,IMG_0070_3_2_0103SET_registered.tif,IMG_0070_2_2_0103SET_registered.tif,IMG_0070_1_2_0103SET_registered.tif,IMG_0070_5_2_0103SET_registered.tif,IMG_0070_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
1310,287,287,287,IMG_0093_,IMG_0093_3_2_0133SET_registered.tif,IMG_0093_2_2_0133SET_registered.tif,IMG_0093_1_2_0133SET_registered.tif,IMG_0093_5_2_0133SET_registered.tif,IMG_0093_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
1340,10803,10803,10803,IMG_0096_,IMG_0096_3_4_0012SET_registered.tif,IMG_0096_2_4_0012SET_registered.tif,IMG_0096_1_4_0012SET_registered.tif,IMG_0096_5_4_0012SET_registered.tif,IMG_0096_4_4_0012SET_registered.tif,Field97,2021-05-13,medium_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/medium_blackgrass,blackgrass,train
584,4243,4243,4243,IMG_0044_,IMG_0044_3_3_0003SET_registered.tif,IMG_0044_2_3_0003SET_registered.tif,IMG_0044_1_3_0003SET_registered.tif,IMG_0044_5_3_0003SET_registered.tif,IMG_0044_4_3_0003SET_registered.tif,Field39,2021-03-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/dense_blackgrass,blackgrass,train
381,12037,12037,12037,IMG_0044_,IMG_0044_3_2_0014SET_registered.tif,IMG_0044_2_2_0014SET_registered.tif,IMG_0044_1_2_0014SET_registered.tif,IMG_0044_5_2_0014SET_registered.tif,IMG_0044_4_2_0012SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
485,6370,6370,6370,IMG_0044_,IMG_0044_3_4_0076SET_registered.tif,IMG_0044_2_4_0076SET_registered.tif,IMG_0044_1_4_0076SET_registered.tif,IMG_0044_5_4_0076SET_registered.tif,IMG_0044_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
496,10761,10761,10761,IMG_0058_,IMG_0058_3_4_0012SET_registered.tif,IMG_0058_2_4_0012SET_registered.tif,IMG_0058_1_4_0012SET_registered.tif,IMG_0058_5_4_0013SET_registered.tif,IMG_0058_4_4_0013SET_registered.tif,Field97,2021-05-13,medium_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/medium_blackgrass,blackgrass,train
994,6871,6871,6871,IMG_0013_,IMG_0013_3_3_0181SET_registered.tif,IMG_0013_2_3_0181SET_registered.tif,IMG_0013_1_3_0181SET_registered.tif,IMG_0013_5_3_0181SET_registered.tif,IMG_0013_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
1253,6335,6335,6335,IMG_0106_,IMG_0106_3_4_0076SET_registered.tif,IMG_0106_2_4_0076SET_registered.tif,IMG_0106_1_4_0076SET_registered.tif,IMG_0106_5_4_0076SET_registered.tif,IMG_0106_4_4_0076SET_registered.tif,Field38,2021-05-27,dense_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/dense_blackgrass,blackgrass,train
96,948,948,948,IMG_0141_,IMG_0141_3_4_0037SET_registered.tif,IMG_0141_2_4_0037SET_registered.tif,IMG_0141_1_4_0037SET_registered.tif,IMG_0141_5_4_0037SET_registered.tif,IMG_0141_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
1077,236,236,236,IMG_0095_,IMG_0095_3_2_0133SET_registered.tif,IMG_0095_2_2_0133SET_registered.tif,IMG_0095_1_2_0133SET_registered.tif,IMG_0095_5_2_0133SET_registered.tif,IMG_0095_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
1088,13631,13631,13631,IMG_0026_,IMG_0026_3_3_0043SET_registered.tif,IMG_0026_2_3_0043SET_registered.tif,IMG_0026_1_3_0043SET_registered.tif,IMG_0026_5_3_0043SET_registered.tif,IMG_0026_4_3_0043SET_registered.tif,Field42,2021-04-15(HELDOUTDATASET),dense_blackgrass,mid,winter_wheat,type3,../data/Field42/2021-04-15(HELDOUTDATASET)/dense_blackgrass,blackgrass,train
1402,10695,10695,10695,IMG_0038_,IMG_0038_3_4_0012SET_registered.tif,IMG_0038_2_4_0013SET_registered.tif,IMG_0038_1_4_0013SET_registered.tif,IMG_0038_5_4_0013SET_registered.tif,IMG_0038_4_4_0012SET_registered.tif,Field97,2021-05-13,medium_blackgrass,late,winter_barley,type4,../data/Field97/2021-05-13/medium_blackgrass,blackgrass,train
1330,12062,12062,12062,IMG_0053_,IMG_0053_3_2_0014SET_registered.tif,IMG_0053_2_2_0012SET_registered.tif,IMG_0053_1_2_0012SET_registered.tif,IMG_0053_5_2_0012SET_registered.tif,IMG_0053_4_2_0014SET_registered.tif,Field50,2021-01-18,medium_blackgrass,early,winter_barley,type1,../data/Field50/2021-01-18/medium_blackgrass,blackgrass,train
931,8843,8843,8843,IMG_0104_,IMG_0104_3_3_0187SET_registered.tif,IMG_0104_2_3_0187SET_registered.tif,IMG_0104_1_3_0187SET_registered.tif,IMG_0104_5_3_0187SET_registered.tif,IMG_0104_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
678,229,229,229,IMG_0051_,IMG_0051_3_2_0133SET_registered.tif,IMG_0051_2_2_0133SET_registered.tif,IMG_0051_1_2_0133SET_registered.tif,IMG_0051_5_2_0133SET_registered.tif,IMG_0051_4_2_0133SET_registered.tif,Field78,2021-03-03,medium_blackgrass,mid,winter_barley,type4,../data/Field78/2021-03-03/medium_blackgrass,blackgrass,train
150,6185,6185,6185,IMG_0008_,IMG_0008_3_4_0077SET_registered.tif,IMG_0008_2_4_0077SET_registered.tif,IMG_0008_1_4_0077SET_registered.tif,IMG_0008_5_4_0077SET_registered.tif,IMG_0008_4_4_0077SET_registered.tif,Field38,2021-05-27,medium_blackgrass,late,winter_wheat,type7,../data/Field38/2021-05-27/medium_blackgrass,blackgrass,train
252,3161,3161,3161,IMG_0101_,IMG_0101_3_0161SET_registered.tif,IMG_0101_2_0161SET_registered.tif,IMG_0101_1_0161SET_registered.tif,IMG_0101_5_0161SET_registered.tif,IMG_0101_4_0161SET_registered.tif,Field16,2020-11-10,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-10/medium_blackgrass,blackgrass,train
1176,8990,8990,8990,IMG_0041_,IMG_0041_3_3_0191SET_registered.tif,IMG_0041_2_3_0191SET_registered.tif,IMG_0041_1_3_0191SET_registered.tif,IMG_0041_5_3_0191SET_registered.tif,IMG_0041_4_3_0191SET_registered.tif,Field82,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field82/2021-05-13/dense_blackgrass,blackgrass,train
706,7006,7006,7006,IMG_0186_,IMG_0186_3_3_0183SET_registered.tif,IMG_0186_2_3_0183SET_registered.tif,IMG_0186_1_3_0183SET_registered.tif,IMG_0186_5_3_0183SET_registered.tif,IMG_0186_4_3_0183SET_registered.tif,Field70,2021-05-12,dense_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/dense_blackgrass,blackgrass,train
1266,6936,6936,6936,IMG_0083_,IMG_0083_3_3_0181SET_registered.tif,IMG_0083_2_3_0181SET_registered.tif,IMG_0083_1_3_0181SET_registered.tif,IMG_0083_5_3_0181SET_registered.tif,IMG_0083_4_3_0181SET_registered.tif,Field70,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field70/2021-05-12/medium_blackgrass,blackgrass,train
1104,7594,7594,7594,IMG_0041_,IMG_0041_3_3_0055SET_registered.tif,IMG_0041_2_3_0055SET_registered.tif,IMG_0041_1_3_0055SET_registered.tif,IMG_0041_5_3_0055SET_registered.tif,IMG_0041_4_3_0055SET_registered.tif,Field46,2021-04-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field46/2021-04-16/medium_blackgrass,blackgrass,train
325,5946,5946,5946,IMG_0009_,IMG_0009_3_2_0153SET_registered.tif,IMG_0009_2_2_0153SET_registered.tif,IMG_0009_1_2_0153SET_registered.tif,IMG_0009_5_2_0153SET_registered.tif,IMG_0009_4_2_0153SET_registered.tif,Field37,2021-03-12,medium_blackgrass,mid,winter_barley,type4,../data/Field37/2021-03-12/medium_blackgrass,blackgrass,train
106,7340,7340,7340,IMG_0018_,IMG_0018_3_2_0137SET_registered.tif,IMG_0018_2_2_0137SET_registered.tif,IMG_0018_1_2_0137SET_registered.tif,IMG_0018_5_2_0137SET_registered.tif,IMG_0018_4_2_0137SET_registered.tif,Field81,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field81/2021-03-03/medium_blackgrass,blackgrass,train
1224,657,657,657,IMG_0027_,IMG_0027_3_0185SET_registered.tif,IMG_0027_2_0185SET_registered.tif,IMG_0027_1_0186SET_registered.tif,IMG_0027_5_0185SET_registered.tif,IMG_0027_4_0186SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
322,2986,2986,2986,IMG_0062_,IMG_0062_3_0149SET_registered.tif,IMG_0062_2_0148SET_registered.tif,IMG_0062_1_0148SET_registered.tif,IMG_0062_5_0149SET_registered.tif,IMG_0062_4_0149SET_registered.tif,Field16,2020-11-05,medium_blackgrass,early,winter_wheat,type7,../data/Field16/2020-11-05/medium_blackgrass,blackgrass,train
579,8709,8709,8709,IMG_0050_,IMG_0050_3_0166SET_registered.tif,IMG_0050_2_0165SET_registered.tif,IMG_0050_1_0165SET_registered.tif,IMG_0050_5_0166SET_registered.tif,IMG_0050_4_0165SET_registered.tif,Field23,2020-11-11,dense_blackgrass,early,winter_wheat,type7,../data/Field23/2020-11-11/dense_blackgrass,blackgrass,train
1002,927,927,927,IMG_0095_,IMG_0095_3_4_0037SET_registered.tif,IMG_0095_2_4_0037SET_registered.tif,IMG_0095_1_4_0037SET_registered.tif,IMG_0095_5_4_0037SET_registered.tif,IMG_0095_4_4_0037SET_registered.tif,Field14,2021-05-19,medium_blackgrass,late,winter_wheat,type6,../data/Field14/2021-05-19/medium_blackgrass,blackgrass,train
89,14159,14159,14159,IMG_0093_,IMG_0093_3_3_0148SET_registered.tif,IMG_0093_2_3_0148SET_registered.tif,IMG_0093_1_3_0148SET_registered.tif,IMG_0093_5_3_0148SET_registered.tif,IMG_0093_4_3_0148SET_registered.tif,Field95,2021-04-28,medium_blackgrass,springcrop_mid,spring_barley,type8,../data/Field95/2021-04-28/medium_blackgrass,blackgrass,train
904,2671,2671,2671,IMG_0060_,IMG_0060_3_2_0097SET_registered.tif,IMG_0060_2_2_0097SET_registered.tif,IMG_0060_1_2_0098SET_registered.tif,IMG_0060_5_2_0098SET_registered.tif,IMG_0060_4_2_0097SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
617,11582,11582,11582,IMG_0041_,IMG_0041_3_0141SET_registered.tif,IMG_0041_2_0141SET_registered.tif,IMG_0041_1_0142SET_registered.tif,IMG_0041_5_0142SET_registered.tif,IMG_0041_4_0142SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
941,1193,1193,1193,IMG_0095_,IMG_0095_3_3_0010SET_registered.tif,IMG_0095_2_3_0010SET_registered.tif,IMG_0095_1_3_0010SET_registered.tif,IMG_0095_5_3_0010SET_registered.tif,IMG_0095_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
613,8858,8858,8858,IMG_0084_,IMG_0084_3_3_0187SET_registered.tif,IMG_0084_2_3_0187SET_registered.tif,IMG_0084_1_3_0187SET_registered.tif,IMG_0084_5_3_0187SET_registered.tif,IMG_0084_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
540,3405,3405,3405,IMG_0173_,IMG_0173_3_3_0194SET_registered.tif,IMG_0173_2_3_0194SET_registered.tif,IMG_0173_1_3_0194SET_registered.tif,IMG_0173_5_3_0194SET_registered.tif,IMG_0173_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
1424,706,706,706,IMG_0018_,IMG_0018_3_0185SET_registered.tif,IMG_0018_2_0186SET_registered.tif,IMG_0018_1_0185SET_registered.tif,IMG_0018_5_0186SET_registered.tif,IMG_0018_4_0186SET_registered.tif,Field14,2020-11-18,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-18/medium_blackgrass,blackgrass,train
261,3523,3523,3523,IMG_0004_,IMG_0004_3_3_0194SET_registered.tif,IMG_0004_2_3_0194SET_registered.tif,IMG_0004_1_3_0194SET_registered.tif,IMG_0004_5_3_0194SET_registered.tif,IMG_0004_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
698,8517,8517,8517,IMG_0038_,IMG_0038_3_2_0103SET_registered.tif,IMG_0038_2_2_0103SET_registered.tif,IMG_0038_1_2_0103SET_registered.tif,IMG_0038_5_2_0103SET_registered.tif,IMG_0038_4_2_0103SET_registered.tif,Field23,2021-02-17,dense_blackgrass,mid,winter_wheat,type7,../data/Field23/2021-02-17/dense_blackgrass,blackgrass,train
951,13232,13232,13232,IMG_0051_,IMG_0051_3_0146SET_registered.tif,IMG_0051_2_0146SET_registered.tif,IMG_0051_1_0146SET_registered.tif,IMG_0051_5_0146SET_registered.tif,IMG_0051_4_0146SET_registered.tif,Field15,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field15/2020-11-04/medium_blackgrass,blackgrass,train
225,15288,15288,15288,IMG_0036_,IMG_0036_3_0238SET_registered.tif,IMG_0036_2_0238SET_registered.tif,IMG_0036_1_0238SET_registered.tif,IMG_0036_5_0238SET_registered.tif,IMG_0036_4_0238SET_registered.tif,Field48,2020-12-16,medium_blackgrass,early,winter_barley,type7,../data/Field48/2020-12-16/medium_blackgrass,blackgrass,train
1076,8863,8863,8863,IMG_0057_,IMG_0057_3_3_0187SET_registered.tif,IMG_0057_2_3_0187SET_registered.tif,IMG_0057_1_3_0187SET_registered.tif,IMG_0057_5_3_0187SET_registered.tif,IMG_0057_4_3_0187SET_registered.tif,Field23,2021-05-12,medium_blackgrass,late,winter_wheat,type7,../data/Field23/2021-05-12/medium_blackgrass,blackgrass,train
54,3546,3546,3546,IMG_0089_,IMG_0089_3_2_0131SET_registered.tif,IMG_0089_2_2_0131SET_registered.tif,IMG_0089_1_2_0131SET_registered.tif,IMG_0089_5_2_0131SET_registered.tif,IMG_0089_4_2_0131SET_registered.tif,Field76,2021-03-03,medium_blackgrass,mid,winter_wheat,type4,../data/Field76/2021-03-03/medium_blackgrass,blackgrass,train
609,11597,11597,11597,IMG_0093_,IMG_0093_3_0141SET_registered.tif,IMG_0093_2_0141SET_registered.tif,IMG_0093_1_0141SET_registered.tif,IMG_0093_5_0141SET_registered.tif,IMG_0093_4_0142SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
1217,2455,2455,2455,IMG_0104_,IMG_0104_3_0198SET_registered.tif,IMG_0104_2_0198SET_registered.tif,IMG_0104_1_0198SET_registered.tif,IMG_0104_5_0198SET_registered.tif,IMG_0104_4_0198SET_registered.tif,Field35,2020-11-24,medium_blackgrass,early,winter_barley,type4,../data/Field35/2020-11-24/medium_blackgrass,blackgrass,train
992,15888,15888,15888,IMG_0034_,IMG_0034_3_3_0032SET_registered.tif,IMG_0034_2_3_0032SET_registered.tif,IMG_0034_1_3_0032SET_registered.tif,IMG_0034_5_3_0032SET_registered.tif,IMG_0034_4_3_0032SET_registered.tif,Field88,2021-03-25(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type7,../data/Field88/2021-03-25(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
1145,1223,1223,1223,IMG_0016_,IMG_0016_3_3_0010SET_registered.tif,IMG_0016_2_3_0010SET_registered.tif,IMG_0016_1_3_0010SET_registered.tif,IMG_0016_5_3_0010SET_registered.tif,IMG_0016_4_3_0010SET_registered.tif,Field14,2021-03-19(HELDOUTDATASET),medium_blackgrass,mid,winter_wheat,type6,../data/Field14/2021-03-19(HELDOUTDATASET)/medium_blackgrass,blackgrass,train
570,3396,3396,3396,IMG_0108_,IMG_0108_3_3_0194SET_registered.tif,IMG_0108_2_3_0194SET_registered.tif,IMG_0108_1_3_0194SET_registered.tif,IMG_0108_5_3_0194SET_registered.tif,IMG_0108_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
337,1061,1061,1061,IMG_0009_,IMG_0009_3_0145SET_registered.tif,IMG_0009_2_0145SET_registered.tif,IMG_0009_1_0144SET_registered.tif,IMG_0009_5_0144SET_registered.tif,IMG_0009_4_0145SET_registered.tif,Field14,2020-11-04,medium_blackgrass,early,winter_wheat,type6,../data/Field14/2020-11-04/medium_blackgrass,blackgrass,train
769,4194,4194,4194,IMG_0011_,IMG_0011_3_3_0004SET_registered.tif,IMG_0011_2_3_0004SET_registered.tif,IMG_0011_1_3_0004SET_registered.tif,IMG_0011_5_3_0004SET_registered.tif,IMG_0011_4_3_0004SET_registered.tif,Field39,2021-03-17,medium_blackgrass,mid,winter_wheat,type7,../data/Field39/2021-03-17/medium_blackgrass,blackgrass,train
1055,9146,9146,9146,IMG_0072_,IMG_0072_3_2_0114SET_registered.tif,IMG_0072_2_2_0114SET_registered.tif,IMG_0072_1_2_0114SET_registered.tif,IMG_0072_5_2_0114SET_registered.tif,IMG_0072_4_2_0114SET_registered.tif,Field25,2021-02-19,medium_blackgrass,mid,winter_wheat,type7,../data/Field25/2021-02-19/medium_blackgrass,blackgrass,train
1113,3389,3389,3389,IMG_0111_,IMG_0111_3_3_0194SET_registered.tif,IMG_0111_2_3_0194SET_registered.tif,IMG_0111_1_3_0194SET_registered.tif,IMG_0111_5_3_0194SET_registered.tif,IMG_0111_4_3_0194SET_registered.tif,Field76,2021-05-13,dense_blackgrass,late,winter_wheat,type4,../data/Field76/2021-05-13/dense_blackgrass,blackgrass,train
1098,8306,8306,8306,IMG_0011_,IMG_0011_3_4_0073SET_registered.tif,IMG_0011_2_4_0073SET_registered.tif,IMG_0011_1_4_0073SET_registered.tif,IMG_0011_5_4_0073SET_registered.tif,IMG_0011_4_4_0073SET_registered.tif,Field73,2021-05-26,dense_blackgrass,late,winter_wheat,type8,../data/Field73/2021-05-26/dense_blackgrass,blackgrass,train
703,2712,2712,2712,IMG_0018_,IMG_0018_3_2_0098SET_registered.tif,IMG_0018_2_2_0097SET_registered.tif,IMG_0018_1_2_0097SET_registered.tif,IMG_0018_5_2_0098SET_registered.tif,IMG_0018_4_2_0097SET_registered.tif,Field16,2021-02-16,medium_blackgrass,mid,winter_wheat,type7,../data/Field16/2021-02-16/medium_blackgrass,blackgrass,train
1325,7285,7285,7285,IMG_0055_,IMG_0055_3_3_0189SET_registered.tif,IMG_0055_2_3_0189SET_registered.tif,IMG_0055_1_3_0189SET_registered.tif,IMG_0055_5_3_0189SET_registered.tif,IMG_0055_4_3_0189SET_registered.tif,Field81,2021-05-13,medium_blackgrass,late,winter_wheat,type4,../data/Field81/2021-05-13/medium_blackgrass,blackgrass,train
999,11648,11648,11648,IMG_0071_,IMG_0071_3_0142SET_registered.tif,IMG_0071_2_0141SET_registered.tif,IMG_0071_1_0141SET_registered.tif,IMG_0071_5_0142SET_registered.tif,IMG_0071_4_0141SET_registered.tif,Field12,2020-11-03,dense_blackgrass,early,triticale,type6,../data/Field12/2020-11-03/dense_blackgrass,blackgrass,train
